Tunnel length [m],Tunnel width [m],Tunnel height [m],Hydrauric diameter,T [K],Qdot [Kw],Critical velocity [m/s]
12,0.25,0.25,0.25,293,0.7,0.346149279855752
12,0.25,0.25,0.25,293,0.75,0.354202134118912
12,0.25,0.25,0.25,293,0.8,0.361904581798998
12,0.25,0.25,0.25,293,0.85,0.369292420676786
12,0.25,0.25,0.25,293,0.9,0.37639593304423
12,0.25,0.25,0.25,293,0.95,0.383240990708525
12,0.25,0.25,0.25,293,1,0.389849892754621
12,0.25,0.25,0.25,293,1.05,0.396242010700458
12,0.25,0.25,0.25,293,1.1,0.402434292303393
12,0.25,0.25,0.25,293,1.15,0.408441659944104
12,0.25,0.25,0.25,293,1.2,0.41427732923062
12,0.25,0.25,0.25,293,1.25,0.419953066427883
12,0.25,0.25,0.25,293,1.3,0.425479398414529
12,0.25,0.25,0.25,293,1.35,0.43086578539488
12,0.25,0.25,0.25,293,1.4,0.436120764096213
12,0.25,0.25,0.25,293,1.45,0.441252067360346
12,0.25,0.25,0.25,293,1.5,0.446266724694104
12,0.25,0.25,0.25,293,1.55,0.451171147338966
12,0.25,0.25,0.25,293,1.6,0.455971200661958
12,0.25,0.25,0.25,293,1.65,0.460672266091564
12,0.25,0.25,0.25,293,1.7,0.465279294377315
12,0.25,0.25,0.25,293,1.75,0.469796851606047
12,0.25,0.25,0.25,293,1.8,0.474229159137246
12,0.25,0.25,0.25,293,1.85,0.478580128406472
12,0.25,0.25,0.25,293,1.9,0.482853391376236
12,0.25,0.25,0.25,293,1.95,0.487052327278135
12,0.25,0.25,0.25,293,2,0.491180086180806
12,0.25,0.25,0.25,293,2.05,0.495239609829891
12,0.25,0.25,0.25,293,2.1,0.499233650134177
12,0.25,0.25,0.25,293,2.15,0.503164785613142
12,0.25,0.25,0.25,293,2.2,0.507035436072591
12,0.25,0.25,0.25,293,2.25,0.510847875734967
12,0.25,0.25,0.25,293,2.3,0.51460424501758
12,0.25,0.25,0.25,293,2.35,0.518306561124162
12,0.25,0.25,0.25,293,2.4,0.521956727591887
12,0.25,0.25,0.25,293,2.45,0.525556542916339
12,0.25,0.25,0.25,293,2.5,0.529107708360389
12,0.25,0.25,0.25,293,2.55,0.532611835038877
12,0.25,0.25,0.25,293,2.6,0.536070450359072
12,0.25,0.25,0.25,293,2.65,0.539485003886687
12,0.25,0.25,0.25,293,2.7,0.542856872698496
12,0.25,0.25,0.25,293,2.75,0.546187366275116
12,0.25,0.25,0.25,293,2.8,0.549477730981055
12,0.25,0.25,0.25,293,2.85,0.552729154173555
12,0.25,0.25,0.25,293,2.9,0.55594276797693
12,0.25,0.25,0.25,293,2.95,0.559119652754895
12,0.25,0.25,0.25,293,3,0.562260840309742
12,0.25,0.25,0.25,293,3.05,0.565367316834017
12,0.25,0.25,0.25,293,3.1,0.568440025637585
12,0.25,0.25,0.25,293,3.15,0.571479869670479
12,0.25,0.25,0.25,293,3.2,0.57448771385984
12,0.25,0.25,0.25,293,3.25,0.5774643872773
12,0.25,0.25,0.25,293,3.3,0.580410685151534
12,0.25,0.25,0.25,293,3.35,0.583327370739204
12,0.25,0.25,0.25,293,3.4,0.586215177066213
12,0.25,0.25,0.25,293,3.45,0.589074808550028
12,0.25,0.25,0.25,293,3.5,0.591906942512796
12,0.25,0.25,0.25,293,3.55,0.594712230594046
12,0.25,0.25,0.25,293,3.6,0.597491300070962
12,0.25,0.25,0.25,293,3.65,0.600244755093469
12,0.25,0.25,0.25,293,3.7,0.602973177840705
12,0.25,0.25,0.25,293,3.75,0.605677129604892
12,0.25,0.25,0.25,293,3.8,0.608357151808047
12,0.25,0.25,0.25,293,3.85,0.611013766956534
12,0.25,0.25,0.25,293,3.9,0.613647479538009
12,0.25,0.25,0.25,293,3.95,0.616258776864917
12,0.25,0.25,0.25,293,4,0.618848129868375
