Year,Tunnel Location,Accident type,Casualties,Comments,Web news page,Web news page in other,Related research paper
1968,Moorfleet_Germany,Car accident,-,Serious damage on vault and side wall,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,https://www.itf-oecd.org/sites/default/files/docs/01tunnelse.pdf 
1972,Hokuriku tunnel_Japan,short circuit,744,No extinguishers and no exhaust way to release smoke,https://www.nytimes.com/1972/11/06/archives/at-least-28-are-killed-as-fire-stalls-train-in-tunnel-in-japan.html,-,http://www.shippai.org/fkd/en/hfen/HA1000605.pdf
1974,Mont Blanc tunnel_France-Italy,Motor fire,1,-,http://www.lotsberg.net/artiklar/brann/en_tab.html,-,-
1975,Guaderrama tunnel_Spain,Truck fire,-,Serious damage to structure,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,-
1976,Crossing BP - A6_France,Lorry fire,12,Serious damage over 150 m,http://www.lotsberg.net/artiklar/brann/en_tab.html,-,https://www.cob.nl/wp-content/uploads/2018/01/UPTUN-WP1-D12a-Causes-frequencies-incidents.pdf
1978,Velsen tunnel_Nederland,Collision,10,Serious damage over 30 m,http://www.lotsberg.net/artiklar/brann/en_tab.html,-,https://www.sciencedirect.com/topics/engineering/tunnel-fire
1979,Nihonzaka Tunnel_Japan,Collision,8,Serious damage over 1100 m,http://www.lotsberg.net/artiklar/brann/en_tab.html,-,-
1980,Kajiwara_Japan,Collision with side wall,1,Serious damage over 1100 m,http://www.lotsberg.net/artiklar/brann/en_tab.html,-,-
1980,Sakai_Japan,Collision,10,Serious damage to structure,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,https://www.cob.nl/wp-content/uploads/2018/01/EWO-017.V.02.D.pdf
1982,Caldecott_USA,Collision,9,Serious damage over 580 m,https://en.wikipedia.org/wiki/Caldecott_Tunnel_fire,https://www.mercurynews.com/2013/10/29/anatomy-of-a-disaster-the-1982-caldecott-tunnel-fire-that-killed-seven/,https://pdfs.semanticscholar.org/f2ed/a604e404c55d229da43fc7dbcf8f2c397ddc.pdf
1983,Pecrile_Italy,Collision,31,-,http://www.lotsberg.net/artiklar/brann/en_tab.html,,https://www.sciencedirect.com/topics/engineering/tunnel-fire
1983,Frejus_France-Italy,Motor fire,-,Damage to roof slab and equipment,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,http://www.ita-cosuf.org/index.php/2015-05-25-05-48-20/road-tunnel-fires,https://www.cob.nl/wp-content/uploads/2018/01/EWO-017.V.02.D.pdf
1984,Gotthard tunnel_Switzerland,Motor fire,-,Serious damage over 30 m,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,,-
1984,Summit Tunnel fire_England, Train derailed,-,Thirteen tankers containing petrol caught fire_the fire took four days ,https://www.manchestereveningnews.co.uk/news/local-news/remembering-summit-tunnel-fire-30-8315156,https://en.wikipedia.org/wiki/Summit_Tunnel_fire,https://www.railwaysarchive.co.uk/docsummary.php?docID=207
1984,Felbertauern tunnel_Austria,Blocking brakes,-,Damage to pavement and ceiling,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,,-
1984,San Benedetto tunnel_Italy,Bomb attack,137,Railway tunnel,-,https://www.icevirtuallibrary.com/doi/full/10.1680/htfs.41530.bm,https://www.cob.nl/wp-content/uploads/2018/01/UPTUN-WP1-D12a-Causes-frequencies-incidents.pdf
1986,LArme_France,Collision,8,-,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,https://www.sciencedirect.com/topics/engineering/tunnel-fire
1987,Gumefens_Switzerland,Collision,2,-,http://www.lotsberg.net/artiklar/brann/en_tab.html,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,https://www.kennisplatformtunnelveiligheid.nl/wp-content/uploads/2016/02/UPTUN-WP1-D12a-Causes-frequencies-incidents.pdf
1990,R?ldal tunnel_Norway,Motor fire,1,-,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,-
1990,Mont Blanc tunnel_France-Italy,Motor fire,2,Some equipment destroyed,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,-
1993,Serra Ripoli Tunnel_Italy,Collision,8,-,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,-
1993,Hovden_Norway,Collision,5111 m insulation material destroyed,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,-
1994,Hugouenot_South Africa,Electrical fault,29,Serious damage on tunnel lining,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,-
1994,Great Belt_Denmark,Construction turnover,-,Widespread damage on tunnel region,https://trid.trb.org/view/492171,-,https://doi.org/10.1016/j.tust.2016.01.005
1995,Pfander Tunnel_Austria,Collision,7,Serious damage to structure,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,-
1995,Baku underground railway_Azerbaijan,Electrical malfunction,559,-,http://www.railsystem.net/baku-metro-fire-1995/,https://mercortecresa.com/en/blog/baku-metro-fire-337-killed,https://doi.org/10.1016/j.firesaf.2008.06.008
1996,Channel Tunnel_Britain-France,Cargo fire,2,Widespread damage on tunnel region,https://en.wikipedia.org/wiki/1996_Channel_Tunnel_fire,-,https://doi.org/10.1016/j.tust.2017.02.011
1996,Isola delle Femmine_Italy,Collision,25,Serious damage tunnel and closed for 2.5 days,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,-
1999,Mont Blanc_France-Italy,Oil leakage Motor,39,Serious spalling on tunnel lining,https://en.wikipedia.org/wiki/Mont_Blanc_tunnel_fire,-,-
1999,Tauren Tunnel_Austria,Multi-car collision,61,Serious damage to structure_part of tunnel vault collapsed,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,https://doi.org/10.1016/j.tust.2016.01.005
2000,Seljestad tunnel_Norway,Multi-car collision,6,Serious damage to structure and tunnel closed for 1.5 days.,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,-
2000,Gletscherbahn Kaprun_Austria,Electric fan heater,155,Fire had burned through a 16-kW power cable,http://www.railsystem.net/kaprun-disaster/,https://en.wikipedia.org/wiki/Kaprun_disaster,-
2001,Gothard_Switzerland,Two trucks collision,21,Serious spalling on tunnel lining,https://www.theguardian.com/world/2001/oct/25/jonhenley,-,https://doi.org/10.1016/j.tust.2016.01.005
2001,Gleinalm tunnel_Austria,Collision,9,Tunnel structures was seriously damaged,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,-
2001,Prapontin tunnel_Italy,Spontaneous combustion of tire,11,-,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,-
2001,Madaoling Tunnel_China,Engine fire,18,-,http://news.sohu.com/23/55/news147185523.shtml,-,https://doi.org/10.1016/j.tust.2018.10.008
2002,A86 Road Tunnel_France,Construction turnover,-,Surface concrete damage,http://edition.cnn.com/2002/WORLD/europe/03/06/tunnel.fire.france/index.html,-,https://doi.org/10.1016/j.tust.2016.01.005
2002,Roppener Tunnel_Austria,Motor fire,2,-,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,-
2002,Homer tunnel_New Zealand,-,4,-,https://tunnels.piarc.org/zh/transverse-aspects-zh-safety-zh/experience-past-tunnel-incidents-zh,-,-
2002,Maoliling Tunnel_China,Engine fire,-,Caused great economic losses_interrupted traffic 18 days,http://news.sina.com.cn/c/2002-01-11/442431.html,-,https://doi.org/10.1016/j.tust.2018.10.008
2003,Vicenza_Italy,Bus turnover,56,-,-,-,https://doi.org/10.1016/j.jlp.2012.04.002
2003,Daegu subway_South Korea,Subway fire,340,Rapid spread of flames and smoke due to petrol incendiary incidents,https://en.wikipedia.org/wiki/Daegu_subway_fire,https://www.history.com/this-day-in-history/arsonist-sets-fire-in-south-korean-subway,https://www.iafss.org/publications/aofst/6/s-5
2003,Shidaoshan tunnel_China,Spontaneous combustion ,-,-,-,-,https://doi.org/10.1016/j.tust.2018.10.008
2003,Baregg Tunnel_Switzerland,Collision,6,-,http://www.ita-cosuf.org/index.php/2015-05-25-05-48-20/road-tunnel-fires,-,https://www.icevirtuallibrary.com/doi/full/10.1680/htfs.41530.bm
2004,Takayama_Japan,Collision,5,Surface concrete damage,-,-,https://doi.org/10.1016/j.tust.2016.01.005
2004,Niuguantou tunnel_China,Spontaneous combustion ,-,,-,-,https://doi.org/10.1016/j.tust.2018.10.008
2005,Frejus_France-Italy,Car accident,23,Serious damage on tunnel lining,https://tunnelbuilder.com/News/Fire-in-Frejus-Tunnel-Kills-Two.aspx,-,https://doi.org/10.1016/j.tust.2016.01.005
2005,Feiluanling tunnel_China,Passenger car brake failure,8,-,-,-,https://doi.org/10.1016/j.tust.2018.10.008
2006,Viamala_Switzerland,Car-bus collision,15,-,-,-,https://doi.org/10.1016/j.jlp.2012.04.002
