Tunnel length [m];Tunnel width [m];Tunnel height [m];Hydrauric diameter;T [K];Qdot [Kw];Critical velocity [m/s];;;;;;;;;
15;0.136;0.25;0.176165803;293;1.5;0.423479391;;;;;;;;;
15;0.136;0.25;0.176165803;293;1.55;0.428133383;;;;;;;;;
15;0.136;0.25;0.176165803;293;1.6;0.432688335;;;;;;;;;
15;0.136;0.25;0.176165803;293;1.65;0.437149354;;;;;;;;;
15;0.136;0.25;0.176165803;293;1.7;0.441521138;;;;;;;;;
15;0.136;0.25;0.176165803;293;1.75;0.445808019;;;;;;;;;
15;0.136;0.25;0.176165803;293;1.8;0.450014003;;;;;;;;;
15;0.136;0.25;0.176165803;293;1.85;0.454142803;;;;;;;;;
15;0.136;0.25;0.176165803;293;1.9;0.458197864;;;;;;;;;
15;0.136;0.25;0.176165803;293;1.95;0.462182393;;;;;;;;;
15;0.136;0.25;0.176165803;293;2;0.46609938;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.05;0.469951616;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.1;0.473741712;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.15;0.477472115;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.2;0.481145122;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.25;0.48476289;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.3;0.488327451;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.35;0.491840719;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.4;0.4953045;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.45;0.498720501;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.5;0.502090336;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.55;0.505415535;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.6;0.508697546;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.65;0.511937745;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.7;0.515137439;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.75;0.51829787;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.8;0.521420222;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.85;0.524505621;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;2.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.5;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.55;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.6;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.65;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.7;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.75;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.8;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.85;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.9;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;3.95;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.05;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.1;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.15;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.2;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.25;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.3;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.35;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.4;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.45;0.525573952;;;;;;;;;
15;0.136;0.25;0.176165803;293;4.5;0.525573952;;;;;;;;;
