Tunnel length [m],Tunnel width [m],Tunnel height [m],Hydrauric diameter,T [K],Qdot [Kw],Critical velocity [m/s]
15,0.48,0.54,0.508235294,293,1.59,0.363622172
15,0.48,0.54,0.508235294,293,1.65,0.368139679
15,0.48,0.54,0.508235294,293,1.7,0.371821321
15,0.48,0.54,0.508235294,293,1.75,0.375431462
15,0.48,0.54,0.508235294,293,1.8,0.378973477
15,0.48,0.54,0.508235294,293,1.85,0.382450493
15,0.48,0.54,0.508235294,293,1.9,0.38586541
15,0.48,0.54,0.508235294,293,1.95,0.38922093
15,0.48,0.54,0.508235294,293,2,0.392519569
15,0.48,0.54,0.508235294,293,2.05,0.39576368
15,0.48,0.54,0.508235294,293,2.1,0.39895546
15,0.48,0.54,0.508235294,293,2.15,0.402096971
15,0.48,0.54,0.508235294,293,2.2,0.405190146
15,0.48,0.54,0.508235294,293,2.25,0.408236803
15,0.48,0.54,0.508235294,293,2.3,0.411238652
15,0.48,0.54,0.508235294,293,2.35,0.414197305
15,0.48,0.54,0.508235294,293,2.4,0.417114284
15,0.48,0.54,0.508235294,293,2.45,0.419991025
15,0.48,0.54,0.508235294,293,2.5,0.422828888
15,0.48,0.54,0.508235294,293,2.55,0.425629161
15,0.48,0.54,0.508235294,293,2.6,0.428393064
15,0.48,0.54,0.508235294,293,2.65,0.431121756
15,0.48,0.54,0.508235294,293,2.7,0.433816337
15,0.48,0.54,0.508235294,293,2.75,0.436477854
15,0.48,0.54,0.508235294,293,2.8,0.439107302
15,0.48,0.54,0.508235294,293,2.85,0.44170563
15,0.48,0.54,0.508235294,293,2.9,0.444273744
15,0.48,0.54,0.508235294,293,2.95,0.446812506
15,0.48,0.54,0.508235294,293,3,0.449322741
15,0.48,0.54,0.508235294,293,3.05,0.451805238
15,0.48,0.54,0.508235294,293,3.1,0.454260749
15,0.48,0.54,0.508235294,293,3.15,0.456689997
15,0.48,0.54,0.508235294,293,3.2,0.459093673
15,0.48,0.54,0.508235294,293,3.25,0.461472439
15,0.48,0.54,0.508235294,293,3.3,0.463826931
15,0.48,0.54,0.508235294,293,3.35,0.466157759
15,0.48,0.54,0.508235294,293,3.4,0.468465508
15,0.48,0.54,0.508235294,293,3.45,0.470750742
15,0.48,0.54,0.508235294,293,3.5,0.473014002
15,0.48,0.54,0.508235294,293,3.55,0.475255808
15,0.48,0.54,0.508235294,293,3.6,0.477476662
15,0.48,0.54,0.508235294,293,3.65,0.479677046
15,0.48,0.54,0.508235294,293,3.7,0.481857426
15,0.48,0.54,0.508235294,293,3.75,0.484018251
15,0.48,0.54,0.508235294,293,3.8,0.486159952
15,0.48,0.54,0.508235294,293,3.85,0.488282948
15,0.48,0.54,0.508235294,293,3.9,0.490387642
15,0.48,0.54,0.508235294,293,3.95,0.492474423
15,0.48,0.54,0.508235294,293,4,0.494543668
15,0.48,0.54,0.508235294,293,4.05,0.49659574
15,0.48,0.54,0.508235294,293,4.1,0.498630991
15,0.48,0.54,0.508235294,293,4.15,0.500649762
15,0.48,0.54,0.508235294,293,4.2,0.502652382
15,0.48,0.54,0.508235294,293,4.25,0.504639171
15,0.48,0.54,0.508235294,293,4.3,0.506610438
15,0.48,0.54,0.508235294,293,4.35,0.508566482
15,0.48,0.54,0.508235294,293,4.4,0.510507595
15,0.48,0.54,0.508235294,293,4.45,0.512434057
15,0.48,0.54,0.508235294,293,4.5,0.514346142
15,0.48,0.54,0.508235294,293,4.55,0.516244115
15,0.48,0.54,0.508235294,293,4.6,0.518128234
15,0.48,0.54,0.508235294,293,4.65,0.51999875
15,0.48,0.54,0.508235294,293,4.7,0.521855904
15,0.48,0.54,0.508235294,293,4.75,0.523699933
15,0.48,0.54,0.508235294,293,4.8,0.525531067
15,0.48,0.54,0.508235294,293,4.85,0.527349528
15,0.48,0.54,0.508235294,293,4.9,0.529155533
15,0.48,0.54,0.508235294,293,4.95,0.530949295
15,0.48,0.54,0.508235294,293,5,0.532731017
15,0.48,0.54,0.508235294,293,5.05,0.5345009
15,0.48,0.54,0.508235294,293,5.1,0.53625914
15,0.48,0.54,0.508235294,293,5.15,0.538005925
15,0.48,0.54,0.508235294,293,5.2,0.53974144
15,0.48,0.54,0.508235294,293,5.25,0.541465865
15,0.48,0.54,0.508235294,293,5.3,0.543179376
15,0.48,0.54,0.508235294,293,5.35,0.544882144
15,0.48,0.54,0.508235294,293,5.4,0.546574335
15,0.48,0.54,0.508235294,293,5.45,0.548256113
15,0.48,0.54,0.508235294,293,5.5,0.549927636
15,0.48,0.54,0.508235294,293,5.55,0.551589059
15,0.48,0.54,0.508235294,293,5.6,0.553240533
15,0.48,0.54,0.508235294,293,5.65,0.554882206
15,0.48,0.54,0.508235294,293,5.7,0.556514221
15,0.48,0.54,0.508235294,293,5.75,0.558136721
15,0.48,0.54,0.508235294,293,5.8,0.559749842
15,0.48,0.54,0.508235294,293,5.85,0.561353718
15,0.48,0.54,0.508235294,293,5.9,0.562948482
15,0.48,0.54,0.508235294,293,5.95,0.564534261
15,0.48,0.54,0.508235294,293,6,0.56611118
15,0.48,0.54,0.508235294,293,6.05,0.567679363
15,0.48,0.54,0.508235294,293,6.1,0.56923893
15,0.48,0.54,0.508235294,293,6.15,0.570789997
15,0.48,0.54,0.508235294,293,6.2,0.57233268
15,0.48,0.54,0.508235294,293,6.25,0.573867092
15,0.48,0.54,0.508235294,293,6.3,0.575393341
15,0.48,0.54,0.508235294,293,6.35,0.576911536
15,0.48,0.54,0.508235294,293,6.4,0.578421783
15,0.48,0.54,0.508235294,293,6.45,0.579924184
